pair,direction,entry_time,entry_price_raw,entry_price,stop,tp,exit_time,exit_price_raw,exit_price,pnl_pips,pnl_r,reason_exit,spread,slippage,session_ref_high,session_ref_low
EURNZD,long,2021-08-13 04:15:00-04:00,1.67502,1.675115,1.67405,1.67902,2021-08-13 06:00:00-04:00,1.67711,1.6770150000000001,19.00000000000235,1.7840375586858817,time_stop,1.5,0.2,1.6777,1.67452
NZDUSD,long,2021-08-16 03:20:00-04:00,0.70296,0.7030550000000001,0.70186,0.70696,2021-08-16 06:00:00-04:00,0.703,0.7029049999999999,-1.5000000000020552,-0.12552301255246723,time_stop,1.5,0.2,0.70442,0.7023
USDJPY,long,2021-08-16 03:40:00-04:00,109.36,109.36949999999999,109.288,109.76,2021-08-16 06:00:00-04:00,109.333,109.32350000000001,-4.599999999997806,-0.5644171779139018,time_stop,1.5,0.2,109.663,109.328
USDCAD,short,2021-08-16 04:05:00-04:00,1.25444,1.254345,1.25542,1.25044,2021-08-16 06:00:00-04:00,1.25492,1.255015,6.699999999999484,0.6232558139534768,time_stop,1.5,0.2,1.25429,1.25132
EURUSD,long,2021-08-16 04:25:00-04:00,1.17862,1.178715,1.17777,1.18262,2021-08-16 05:30:00-04:00,1.17777,1.177675,-10.399999999999299,-1.100529100529057,sl,1.5,0.2,1.18008,1.17899
GBPCHF,long,2021-08-16 05:05:00-04:00,1.26576,1.265855,1.26514,1.26976,2021-08-16 06:00:00-04:00,1.26642,1.2663250000000001,4.700000000001925,0.6573426573429071,time_stop,1.5,0.2,1.2697,1.26848
EURGBP,long,2021-08-16 05:45:00-04:00,0.85056,0.850655,0.8498,0.85456,2021-08-16 06:00:00-04:00,0.85026,0.850165,-4.900000000001015,-0.5730994152047634,time_stop,1.5,0.2,0.85122,0.85046
GBPCAD,short,2021-08-17 04:35:00-04:00,1.74204,1.741945,1.74324,1.73804,2021-08-17 06:00:00-04:00,1.7406,1.7406949999999999,-12.500000000001954,-0.9652509652512473,time_stop,1.5,0.2,1.74143,1.73966
EURCHF,long,2021-08-18 04:05:00-04:00,1.07136,1.071455,1.07034,1.07536,2021-08-18 04:55:00-04:00,1.07034,1.0702450000000001,-12.099999999999334,-1.0852017937219356,sl,1.5,0.2,1.07156,1.07082
GBPUSD,short,2021-08-18 05:05:00-04:00,1.37536,1.375265,1.3764399999999999,1.37136,2021-08-18 06:00:00-04:00,1.375,1.375095,-1.7000000000000348,-0.14468085106384185,time_stop,1.5,0.2,1.37591,1.37371
NZDUSD,long,2021-08-19 04:30:00-04:00,0.68268,0.682775,0.68194,0.68668,2021-08-19 04:40:00-04:00,0.68194,0.6818449999999999,-9.300000000000974,-1.1137724550898969,sl,1.5,0.2,0.6885,0.6846
USDJPY,long,2021-08-19 04:45:00-04:00,109.576,109.58549999999998,109.488,109.976,2021-08-19 05:15:00-04:00,109.488,109.47850000000001,-10.69999999999709,-1.0974358974357972,sl,1.5,0.2,110.228,109.786
CHFJPY,long,2021-08-19 05:10:00-04:00,119.598,119.60749999999999,119.496,119.998,2021-08-19 06:00:00-04:00,119.774,119.76450000000001,15.70000000000249,1.4080717488792434,time_stop,1.5,0.2,119.811,119.625
